var1,var2,var3,p1,p2,p1p2,color
Agree,Agree,Disagree,0.003436426116838488,0.003436426116838488,1.1809024456489649e-05,#a1db33
Strongly disagree,Strongly disagree,Disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#fd8117
Neither agree nor disagree,Agree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#8b8d69
No response,Agree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#a2726d
Disagree,Disagree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#a230da
Disagree,Strongly disagree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#5d2fba
Strongly agree,Strongly agree,Strongly agree,0.13333333333333333,0.13333333333333333,0.017777777777777778,#3816fd
Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#f51a8b
Disagree,Disagree,Disagree,0.009621993127147767,0.009621993127147767,9.258275173887886e-05,#d62f8e
Strongly disagree,Strongly agree,Strongly agree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#df19fc
Strongly agree,Disagree,Strongly agree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#eb4a88
Agree,Neither agree nor disagree,Strongly agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#f3eea0
Strongly agree,Neither agree nor disagree,Neither agree nor disagree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#34e910
Agree,Disagree,Agree,0.006872852233676976,0.006872852233676976,4.7236097825958596e-05,#d1e4ee
Strongly disagree,Agree,Strongly agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#6a42e1
Neither agree nor disagree,Strongly agree,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#274714
Strongly disagree,Strongly disagree,Neither agree nor disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#f33245
Agree,No response,No response,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#17b671
Agree,Strongly disagree,Agree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#d15f6a
Neither agree nor disagree,Disagree,Disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#5bb2b2
Strongly disagree,Strongly disagree,Strongly disagree,0.02542955326460481,0.02542955326460481,0.0006466621792373732,#e6ee15
Strongly agree,Disagree,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#0debac
Disagree,Strongly disagree,Strongly disagree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#32fbe8
No response,Strongly agree,No response,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#58c1f7
Agree,Agree,Neither agree nor disagree,0.02268041237113402,0.02268041237113402,0.0005144011053246891,#e27852
Neither agree nor disagree,No response,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#a8fa14
Strongly disagree,Disagree,Strongly disagree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#5748d1
Disagree,Agree,Strongly agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#303512
Neither agree nor disagree,Agree,Agree,0.01168384879725086,0.01168384879725086,0.00013651232271702035,#2879c7
Strongly disagree,Agree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#4b4a7e
Strongly agree,Strongly disagree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#bfbe24
Strongly disagree,Disagree,Disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#6b49d5
Strongly agree,Strongly disagree,Strongly disagree,0.003436426116838488,0.003436426116838488,1.1809024456489649e-05,#865658
Strongly agree,Neither agree nor disagree,Strongly agree,0.004123711340206186,0.004123711340206186,1.7004995217345097e-05,#cea9d1
Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#689c25
Strongly disagree,No response,No response,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#e94be2
No response,No response,No response,0.2934707903780069,0.2934707903780069,0.08612510480509206,#9c0ee3
Disagree,Neither agree nor disagree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#5d1a1f
Disagree,Agree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#e7d906
Disagree,Agree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#1133a4
Agree,Strongly agree,Disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#98e783
Strongly disagree,Disagree,Agree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#2fddbb
No response,No response,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#53ea38
Agree,Strongly agree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#17f727
Neither agree nor disagree,Strongly agree,Strongly agree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#f1a16f
Agree,Neither agree nor disagree,Neither agree nor disagree,0.007560137457044674,0.007560137457044674,5.7155678369409905e-05,#4ef636
Disagree,Agree,Agree,0.008247422680412371,0.008247422680412371,6.801998086938039e-05,#20b501
Strongly agree,Strongly agree,Agree,0.030240549828178694,0.030240549828178694,0.0009144908539105585,#fe9770
No response,Strongly disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#147a90
Neither agree nor disagree,Agree,Strongly disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#da1130
No response,Disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#c2c2d0
Agree,Neither agree nor disagree,Disagree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#13817c
Disagree,Strongly disagree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#06dc6f
No response,Neither agree nor disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#4fd73e
Strongly agree,Agree,Agree,0.03505154639175258,0.03505154639175258,0.0012286109044531831,#5ae1f6
Agree,Neither agree nor disagree,Agree,0.01443298969072165,0.01443298969072165,0.00020831119141247743,#bcd305
Strongly agree,Agree,Disagree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#9eb312
Agree,Disagree,Neither agree nor disagree,0.004123711340206186,0.004123711340206186,1.7004995217345097e-05,#84ae3f
No response,No response,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#cf306e
Strongly agree,Strongly agree,Neither agree nor disagree,0.004810996563573883,0.004810996563573883,2.3145687934719714e-05,#49e113
No response,No response,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#3762da
Strongly agree,Strongly agree,Strongly disagree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#2e096c
Disagree,Strongly agree,Strongly agree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#ac3d5b
Disagree,Strongly disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#79facb
Strongly agree,Agree,Strongly agree,0.006185567010309278,0.006185567010309278,3.826123923902646e-05,#94f5d5
Agree,Agree,Agree,0.1670103092783505,0.1670103092783505,0.027892443405250288,#7cdbde
Agree,Strongly agree,Strongly agree,0.03848797250859107,0.03848797250859107,0.0014813240278220617,#e8e9a4
Agree,Strongly disagree,Strongly agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#336998
Strongly agree,Agree,Neither agree nor disagree,0.003436426116838488,0.003436426116838488,1.1809024456489649e-05,#acb215
Strongly agree,Strongly agree,Disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#c844fc
Neither agree nor disagree,Agree,Neither agree nor disagree,0.003436426116838488,0.003436426116838488,1.1809024456489649e-05,#e7646b
Disagree,Neither agree nor disagree,Neither agree nor disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#0182ef
Agree,Strongly agree,Neither agree nor disagree,0.007560137457044674,0.007560137457044674,5.7155678369409905e-05,#47e349
Disagree,Strongly agree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#807b41
Neither agree nor disagree,Disagree,Agree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#dd360c
Strongly disagree,Agree,Agree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#294e75
Strongly disagree,Strongly agree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#c2a70e
Neither agree nor disagree,Agree,Strongly agree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#431620
Strongly agree,Neither agree nor disagree,Agree,0.006185567010309278,0.006185567010309278,3.826123923902646e-05,#9fc1fc
Strongly disagree,Disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#e8518e
Strongly disagree,Agree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#95e0a6
Neither agree nor disagree,Neither agree nor disagree,Agree,0.0027491408934707906,0.0027491408934707906,7.5577756521533766e-06,#51e1d0
Neither agree nor disagree,Strongly agree,Agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#d9ae2e
Agree,Strongly disagree,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#614520
Agree,Disagree,Disagree,0.005498281786941581,0.005498281786941581,3.0231102608613506e-05,#0d96eb
Strongly disagree,Strongly disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#fe3038
Strongly agree,Disagree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#017fce
Strongly disagree,Strongly disagree,Agree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#0c950e
Strongly disagree,Strongly disagree,Strongly agree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#b126c1
Disagree,Strongly agree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#4e7bf5
Strongly disagree,Neither agree nor disagree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#973a4b
Strongly disagree,Neither agree nor disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#e32a39
Agree,Disagree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#277b47
Agree,Neither agree nor disagree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#40a072
Neither agree nor disagree,Neither agree nor disagree,No response,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#13828a
Strongly disagree,Disagree,Neither agree nor disagree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#624f94
Agree,Agree,Strongly agree,0.01168384879725086,0.01168384879725086,0.00013651232271702035,#23da6c
Disagree,Agree,Neither agree nor disagree,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#cdc64a
Neither agree nor disagree,No response,No response,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#ee9bf3
Strongly disagree,No response,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#99c781
Strongly agree,No response,No response,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#94ebd6
Agree,No response,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#e5ab35
Agree,Agree,No response,0.0013745704467353953,0.0013745704467353953,1.8894439130383441e-06,#2ac1ae
Strongly agree,Strongly disagree,Neither agree nor disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#74f6d8
Agree,Strongly agree,Agree,0.013745704467353952,0.013745704467353952,0.00018894439130383439,#7aa92f
Strongly disagree,Neither agree nor disagree,Agree,0.002061855670103093,0.002061855670103093,4.251248804336274e-06,#66527a
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0.021305841924398626,0.021305841924398626,0.0004539389001074622,#6cdc5d
Strongly disagree,Strongly agree,Disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#efdbad
Agree,Strongly agree,Strongly disagree,0.0006872852233676976,0.0006872852233676976,4.7236097825958603e-07,#6d4a7c
